"Nome","Número na Pokédex","Tipo Primário","Tipo Secundário","Geração","Total de Pontos Base","Estágio de Evolução","Quantidade de Evoluções"
"bulbasaur",1,"grass","poison","generation-i",318,1,3
"ivysaur",2,"grass","poison","generation-i",405,2,3
"venusaur",3,"grass","poison","generation-i",525,3,3
"venusaur-mega",3,"grass","poison","generation-i",625,3,3
"charmander",4,"fire","N/A","generation-i",309,1,3
"charmeleon",5,"fire","N/A","generation-i",405,2,3
"charizard",6,"fire","flying","generation-i",534,3,3
"charizard-mega-x",6,"fire","dragon","generation-i",634,3,3
"charizard-mega-y",6,"fire","flying","generation-i",634,3,3
"squirtle",7,"water","N/A","generation-i",314,1,3
"wartortle",8,"water","N/A","generation-i",405,2,3
"blastoise",9,"water","N/A","generation-i",530,3,3
"blastoise-mega",9,"water","N/A","generation-i",630,3,3
"caterpie",10,"bug","N/A","generation-i",195,1,3
"metapod",11,"bug","N/A","generation-i",205,2,3
"butterfree",12,"bug","flying","generation-i",395,3,3
"weedle",13,"bug","poison","generation-i",195,1,3
"kakuna",14,"bug","poison","generation-i",205,2,3
"beedrill",15,"bug","poison","generation-i",395,3,3
"beedrill-mega",15,"bug","poison","generation-i",495,3,3
"pidgey",16,"normal","flying","generation-i",251,1,3
"pidgeotto",17,"normal","flying","generation-i",349,2,3
"pidgeot",18,"normal","flying","generation-i",479,3,3
"pidgeot-mega",18,"normal","flying","generation-i",579,3,3
"rattata",19,"normal","N/A","generation-i",253,1,2
"rattata-alola",19,"dark","normal","generation-i",253,1,2
"raticate",20,"normal","N/A","generation-i",413,2,2
"raticate-alola",20,"dark","normal","generation-i",413,2,2
"raticate-totem-alola",20,"dark","normal","generation-i",413,2,2
"spearow",21,"normal","flying","generation-i",262,1,2
"fearow",22,"normal","flying","generation-i",442,2,2
"ekans",23,"poison","N/A","generation-i",288,1,2
"arbok",24,"poison","N/A","generation-i",448,2,2
"pikachu",25,"electric","N/A","generation-i",320,2,3
"pikachu-starter",25,"electric","N/A","generation-i",430,2,3
"raichu",26,"electric","N/A","generation-i",485,3,3
"raichu-alola",26,"electric","psychic","generation-i",485,3,3
"sandshrew",27,"ground","N/A","generation-i",300,1,2
"sandshrew-alola",27,"ice","steel","generation-i",300,1,2
"sandslash",28,"ground","N/A","generation-i",450,2,2
"sandslash-alola",28,"ice","steel","generation-i",450,2,2
"nidoran-f",29,"poison","N/A","generation-i",275,1,3
"nidorina",30,"poison","N/A","generation-i",365,2,3
"nidoqueen",31,"poison","ground","generation-i",505,3,3
"nidoran-m",32,"poison","N/A","generation-i",273,1,3
"nidorino",33,"poison","N/A","generation-i",365,2,3
"nidoking",34,"poison","ground","generation-i",505,3,3
"clefairy",35,"fairy","N/A","generation-i",323,2,3
"clefable",36,"fairy","N/A","generation-i",483,3,3
"vulpix",37,"fire","N/A","generation-i",299,1,2
"vulpix-alola",37,"ice","N/A","generation-i",299,1,2
"ninetales",38,"fire","N/A","generation-i",505,2,2
"ninetales-alola",38,"ice","fairy","generation-i",505,2,2
"jigglypuff",39,"normal","fairy","generation-i",270,2,3
"wigglytuff",40,"normal","fairy","generation-i",435,3,3
"zubat",41,"poison","flying","generation-i",245,1,3
"golbat",42,"poison","flying","generation-i",455,2,3
"oddish",43,"grass","poison","generation-i",320,1,3
"gloom",44,"grass","poison","generation-i",395,2,3
"vileplume",45,"grass","poison","generation-i",490,3,3
"paras",46,"bug","grass","generation-i",285,1,2
"parasect",47,"bug","grass","generation-i",405,2,2
"venonat",48,"bug","poison","generation-i",305,1,2
"venomoth",49,"bug","poison","generation-i",450,2,2
"diglett",50,"ground","N/A","generation-i",265,1,2
"diglett-alola",50,"ground","steel","generation-i",265,1,2
"dugtrio",51,"ground","N/A","generation-i",425,2,2
"dugtrio-alola",51,"ground","steel","generation-i",425,2,2
"meowth",52,"normal","N/A","generation-i",290,1,2
"meowth-alola",52,"dark","N/A","generation-i",290,1,2
"meowth-galar",52,"steel","N/A","generation-i",290,1,2
"persian",53,"normal","N/A","generation-i",440,2,2
"persian-alola",53,"dark","N/A","generation-i",440,2,2
"psyduck",54,"water","N/A","generation-i",320,1,2
"golduck",55,"water","N/A","generation-i",500,2,2
"mankey",56,"fighting","N/A","generation-i",305,1,3
"primeape",57,"fighting","N/A","generation-i",455,2,3
"growlithe",58,"fire","N/A","generation-i",350,1,2
"growlithe-hisui",58,"fire","rock","generation-i",350,1,2
"arcanine",59,"fire","N/A","generation-i",555,2,2
"arcanine-hisui",59,"fire","rock","generation-i",555,2,2
"poliwag",60,"water","N/A","generation-i",300,1,3
"poliwhirl",61,"water","N/A","generation-i",385,2,3
"poliwrath",62,"water","fighting","generation-i",510,3,3
"abra",63,"psychic","N/A","generation-i",310,1,3
"kadabra",64,"psychic","N/A","generation-i",400,2,3
"alakazam",65,"psychic","N/A","generation-i",500,3,3
"alakazam-mega",65,"psychic","N/A","generation-i",600,3,3
"machop",66,"fighting","N/A","generation-i",305,1,3
"machoke",67,"fighting","N/A","generation-i",405,2,3
"machamp",68,"fighting","N/A","generation-i",505,3,3
"bellsprout",69,"grass","poison","generation-i",300,1,3
"weepinbell",70,"grass","poison","generation-i",390,2,3
"victreebel",71,"grass","poison","generation-i",490,3,3
"tentacool",72,"water","poison","generation-i",335,1,2
"tentacruel",73,"water","poison","generation-i",515,2,2
"geodude",74,"rock","ground","generation-i",300,1,3
"geodude-alola",74,"rock","electric","generation-i",300,1,3
"graveler",75,"rock","ground","generation-i",390,2,3
"graveler-alola",75,"rock","electric","generation-i",390,2,3
"golem",76,"rock","ground","generation-i",495,3,3
"golem-alola",76,"rock","electric","generation-i",495,3,3
"ponyta",77,"fire","N/A","generation-i",410,1,2
"ponyta-galar",77,"psychic","N/A","generation-i",410,1,2
"rapidash",78,"fire","N/A","generation-i",500,2,2
"rapidash-galar",78,"psychic","fairy","generation-i",500,2,2
"slowpoke",79,"water","psychic","generation-i",315,1,2
"slowpoke-galar",79,"psychic","N/A","generation-i",315,1,2
"slowbro",80,"water","psychic","generation-i",490,2,2
"slowbro-mega",80,"water","psychic","generation-i",590,2,2
"slowbro-galar",80,"poison","psychic","generation-i",490,2,2
"magnemite",81,"electric","steel","generation-i",325,1,3
"magneton",82,"electric","steel","generation-i",465,2,3
"farfetchd",83,"normal","flying","generation-i",377,1,2
"farfetchd-galar",83,"fighting","N/A","generation-i",377,1,2
"doduo",84,"normal","flying","generation-i",310,1,2
"dodrio",85,"normal","flying","generation-i",470,2,2
"seel",86,"water","N/A","generation-i",325,1,2
"dewgong",87,"water","ice","generation-i",475,2,2
